epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,371.015,0.59025,0.45588,1.10149,0.87838,0.90435,0.90297,0.72434,0.89708,0.5732,1.43753,0.000544625,0.000544625,0.000544625
59,377.345,0.58335,0.43019,1.10237,0.89831,0.91822,0.92015,0.74086,0.8789,0.54261,1.42207,0.00053225,0.00053225,0.00053225
60,383.688,0.59775,0.43872,1.10859,0.90954,0.90702,0.92715,0.74053,0.85145,0.53471,1.40164,0.000519875,0.000519875,0.000519875
61,389.998,0.58091,0.44408,1.1019,0.86602,0.89299,0.89876,0.74416,0.82965,0.57747,1.40822,0.0005075,0.0005075,0.0005075
62,396.269,0.59797,0.45289,1.11026,0.87749,0.84653,0.87193,0.6889,0.91537,0.56947,1.52121,0.000495125,0.000495125,0.000495125
63,402.526,0.5673,0.41916,1.08627,0.88458,0.87287,0.90432,0.72037,0.87727,0.56928,1.48093,0.00048275,0.00048275,0.00048275
64,408.798,0.60741,0.45334,1.11881,0.8721,0.88824,0.9443,0.72522,0.8787,0.57572,1.44607,0.000470375,0.000470375,0.000470375
65,415.086,0.55475,0.41498,1.06801,0.88753,0.89782,0.95445,0.74787,0.8713,0.53803,1.4473,0.000458,0.000458,0.000458
66,421.353,0.57508,0.43023,1.09062,0.91063,0.88573,0.91792,0.7176,0.90905,0.55553,1.50036,0.000445625,0.000445625,0.000445625
67,427.655,0.5751,0.42243,1.07822,0.88427,0.88228,0.91396,0.71963,0.91119,0.59062,1.46973,0.00043325,0.00043325,0.00043325
68,433.965,0.55981,0.4164,1.08885,0.90481,0.89462,0.93493,0.70691,0.90358,0.54827,1.43631,0.000420875,0.000420875,0.000420875
69,440.219,0.54358,0.41269,1.06832,0.90337,0.90687,0.94634,0.74582,0.91225,0.51374,1.49582,0.0004085,0.0004085,0.0004085
70,446.45,0.56857,0.41448,1.08696,0.90188,0.89553,0.93116,0.73887,0.86454,0.51765,1.43729,0.000396125,0.000396125,0.000396125
71,452.676,0.56658,0.42934,1.09131,0.91716,0.90798,0.93057,0.72097,0.91972,0.49645,1.47331,0.00038375,0.00038375,0.00038375
72,458.978,0.55699,0.39146,1.08869,0.9298,0.92755,0.93472,0.74227,0.87327,0.49674,1.41949,0.000371375,0.000371375,0.000371375
73,465.259,0.53479,0.39712,1.05805,0.92547,0.92058,0.93498,0.74711,0.90064,0.49096,1.44989,0.000359,0.000359,0.000359
74,471.543,0.5174,0.36964,1.0762,0.90447,0.93194,0.94534,0.73927,0.8917,0.49683,1.44358,0.000346625,0.000346625,0.000346625
75,477.836,0.52647,0.38809,1.05873,0.9011,0.91944,0.93449,0.74787,0.82298,0.47086,1.37823,0.00033425,0.00033425,0.00033425
76,484.166,0.52011,0.38726,1.05787,0.89558,0.92519,0.92982,0.735,0.91835,0.56303,1.47279,0.000321875,0.000321875,0.000321875
77,490.502,0.50498,0.37072,1.05386,0.89505,0.88819,0.92964,0.73122,0.85607,0.56876,1.39199,0.0003095,0.0003095,0.0003095
78,496.777,0.51362,0.37252,1.04846,0.9268,0.91836,0.92894,0.75297,0.8495,0.51257,1.40058,0.000297125,0.000297125,0.000297125
79,503.073,0.52096,0.38905,1.06612,0.94999,0.91544,0.93058,0.74818,0.85951,0.499,1.42033,0.00028475,0.00028475,0.00028475
80,509.362,0.49614,0.37476,1.04747,0.92913,0.92501,0.94052,0.7472,0.85537,0.52186,1.44269,0.000272375,0.000272375,0.000272375
81,515.637,0.4854,0.37493,1.0385,0.95454,0.90284,0.94385,0.74916,0.85499,0.50208,1.43496,0.00026,0.00026,0.00026
82,521.927,0.49788,0.36545,1.04516,0.96434,0.92155,0.93921,0.75956,0.83113,0.4995,1.38951,0.000247625,0.000247625,0.000247625
83,528.257,0.51082,0.36305,1.06169,0.92135,0.90851,0.91934,0.73079,0.89899,0.49875,1.46522,0.00023525,0.00023525,0.00023525
84,534.547,0.48968,0.36716,1.04139,0.92447,0.89861,0.91896,0.71437,0.95797,0.52118,1.53746,0.000222875,0.000222875,0.000222875
85,540.834,0.49828,0.3519,1.04537,0.92679,0.90903,0.92843,0.73699,0.91267,0.52145,1.47569,0.0002105,0.0002105,0.0002105
86,547.076,0.49605,0.36046,1.06232,0.92004,0.91944,0.95077,0.75797,0.84333,0.51627,1.37623,0.000198125,0.000198125,0.000198125
87,553.349,0.46881,0.33415,1.02877,0.915,0.91606,0.9398,0.74776,0.85877,0.51683,1.41227,0.00018575,0.00018575,0.00018575
88,559.681,0.47855,0.35479,1.03571,0.90621,0.91891,0.93076,0.73829,0.85601,0.48928,1.4089,0.000173375,0.000173375,0.000173375
89,565.92,0.477,0.35533,1.04118,0.92132,0.90507,0.92842,0.73619,0.89155,0.47437,1.45639,0.000161,0.000161,0.000161
90,572.179,0.46815,0.34085,1.03398,0.91552,0.91303,0.93512,0.74613,0.89761,0.4863,1.46131,0.000148625,0.000148625,0.000148625
91,578.462,0.46981,0.33367,1.02885,0.91145,0.91653,0.93054,0.75331,0.89904,0.48706,1.48437,0.00013625,0.00013625,0.00013625
92,584.784,0.47454,0.34326,1.04416,0.90554,0.90944,0.9302,0.75417,0.86854,0.48782,1.4642,0.000123875,0.000123875,0.000123875
93,591.086,0.47091,0.33571,1.03875,0.91679,0.90168,0.93643,0.76694,0.84754,0.48798,1.43255,0.0001115,0.0001115,0.0001115
94,597.33,0.45645,0.33305,1.03881,0.91665,0.90322,0.93644,0.76385,0.87528,0.51474,1.45711,9.9125e-05,9.9125e-05,9.9125e-05
95,603.82,0.46209,0.33027,1.0293,0.92774,0.894,0.93353,0.75045,0.89313,0.49475,1.47864,8.675e-05,8.675e-05,8.675e-05
96,610.698,0.45148,0.32945,1.02088,0.92123,0.91516,0.93034,0.7546,0.86532,0.46742,1.44037,7.4375e-05,7.4375e-05,7.4375e-05
97,617.886,0.45716,0.33728,1.03462,0.9087,0.91944,0.92736,0.75524,0.87176,0.457,1.46034,6.2e-05,6.2e-05,6.2e-05
98,625.126,0.43843,0.32385,1.02296,0.91382,0.91808,0.9286,0.7483,0.87226,0.47026,1.46358,4.9625e-05,4.9625e-05,4.9625e-05
99,632.071,0.4396,0.31926,1.02524,0.9144,0.91944,0.92805,0.75723,0.85767,0.47172,1.44728,3.725e-05,3.725e-05,3.725e-05
100,638.374,0.43108,0.32373,1.01477,0.89998,0.91944,0.92665,0.75779,0.8543,0.47461,1.4442,2.4875e-05,2.4875e-05,2.4875e-05
